Accepted,مقبول
Inventory Reorder Needed,أصناف تحتاج إعادة طلب
Inventory Stock Items,أصناف المخزون
Item,الصنف
Journal Entry,قيد يومية
Land & project charter,الأرض وميثاق المشروع
Land Parcel,قطعة أرض
Language,اللغة
Last Error,بند واجهة
Last Month,الشهر الماضي
Last Week,الأسبوع الماضي
Lead acquisition & qualification,اكتساب العملاء وتأهيلهم
Leasing & occupancy (IFRS 16 / IPSAS rent),التأجير والإشغال (IFRS 16 / IPSAS)
Leasing Finance,التمويل التأجيري
Leasing Mandate,تفويض تأجير
List,قائمة
Login,تسجيل الدخول
Logout,تسجيل الخروج
low,منخفض
Maintenance — service requests,الصيانة — طلبات الخدمة
Management Agreement,اتفاقية إدارة
Manufacturing,التصنيع
medium,متوسط
Menu,القائمة
Metric,بند واجهة
Modified,تاريخ التعديل
Mortgage Finance,التمويل العقاري
My work,عملي
Name,الاسم
New,جديد
None,لا شيء
Not Requested,بند واجهة
Notifications,الإشعارات
Number Card,بطاقة رقمية
Occupancy,الإشغال
Omnexa Accounting Settings,إعدادات محاسبة Omnexa
Omnexa Intelligence Core Activity Register,سجل Omnexa — بند واجهة
Omnexa Intelligence Core Compliance Snapshot,Omnexa — بند واجهة
Omnexa Intelligence Core Document Summary,ملخص Omnexa — بند واجهة
Omnexa Intelligence Core Status Overview,Omnexa — بند واجهة
Omnexa Marketplace Settings,إعدادات سوق Omnexa
Omnexa Purchase Settings,إعدادات مشتريات Omnexa
Omnexa Sales Settings,إعدادات مبيعات Omnexa
Omnexa Settings,إعدادات Omnexa
Omnexa Stock Settings,إعدادات مخزون Omnexa
Open,مفتوح
Open report Compliance Exceptions Dashboard,فتح تقرير لوحة استثناءات الامتثال
Operating Scenarios,سيناريوهات التشغيل
Operational Risk,المخاطر التشغيلية
Other,أخرى
Overdue,متأخر
Overview,نظرة عامة
Owner,المالك
Owner reporting & trust accounting,تقارير الملاك والحسابات الائتمانية
Owner Statement,كشف حساب المالك
Ownership,بند واجهة
Payload and Execution,بند واجهة
Payload JSON,JSON — بند واجهة
Payment Entry,سند قبض/صرف
Payment Plan Item,بند خطة السداد
Pending,قيد الانتظار
Pending Approval,قيد الانتظار موافقة
Permit Milestone,معلم التصريح
Platform & Administration,المنصة والإدارة
Playbook ID,ID — بند واجهة
PMC Lease Liability Schedule,جدول التزام الإيجار IFRS 16
PMC Leasing Mandate,تفويض تأجير
PMC Management Agreement,اتفاقية إدارة
PMC Management Fee Summary,ملخص رسوم الإدارة
PMC Occupancy Summary,ملخص الإشغال
PMC Owner Statement,كشف حساب المالك
PMC Owner Statement Register,سجل كشوف الملاك
PMC Property,عقار
PMC Property Unit,وحدة عقارية
PMC Rent Aging,أعمار الإيجارات
PMC Rent Billing Register,سجل فوترة الإيجار
PMC Rent Roll,سجل الإيجارات
PMC Rental Contract Register,سجل عقود الإيجار
Portfolio & asset registry,المحفظة وسجل الأصول
Posting,ترحيل
Predicted Value,بند واجهة
Prediction Snapshot,بند واجهة
Prediction Snapshot Register,سجل بند واجهة
Priority,الأولوية
Priority and Approval,الأولوية و موافقة
Profile,الملف الشخصي
Profit and Loss,الأرباح والخسائر
Project EV,القيمة المكتسبة للمشروع
Projects & Services,المشاريع والخدمات
Projects PM,إدارة المشاريع
Property,عقار
Property Management,إدارة العقارات
Property Sales Booking Register,سجل حجوزات البيع
Property Sales Lead,عميل مبيعات عقارية
Purchase Invoice,فاتورة شراء
Purchase Register,سجل المشتريات
Queued,في الانتظار
RE BOQ,جدول كميات التطوير
RE Development,التطوير العقاري
RE Handover Package,حزمة التسليم
RE Marketing,التسويق العقاري
RE Permit Milestone,معلم التصريح
RE Project EV,القيمة المكتسبة للمشروع
RE Subcontract Commitment,التزام مقاول باطن
RE Unit Inventory,مخزون وحدات التطوير
RE unit inventory (sales),مخزون وحدات البيع
RE Unit Inventory Overview,نظرة عامة على مخزون الوحدات
Real Estate,العقارات
Reason,السبب
Recommendation Owner,التوصية المالك
Refresh,تحديث
Rejected,مرفوض
Reload,إعادة تحميل
Rent Aging,أعمار الإيجارات
Rent billing register,سجل فوترة الإيجار
Rent Billing Run,تشغيل فوترة الإيجار
Rent Roll,سجل الإيجارات
Rental Contract,عقد إيجار
Rental contract register,سجل عقود الإيجار
Report,تقرير
Reporting Tag,وسم التقرير
Requested,بند واجهة
Reservation register,سجل الحجوزات
Reservations & unit holds,الحجوزات وحجز الوحدات
Restaurant,المطاعم
"Return here for shortcuts, charts, and lists for **Audit & Compliance**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **التدقيق والامتثال**.
"Return here for shortcuts, charts, and lists for **Core ERP**.",ارجع هنا للاختصارات والمخططات والقوائم لـ **ERP الأساسي**.
Rollback and Governance,بند واجهة
Rollback Failed,بند واجهة
Rollback Ref,بند واجهة
Rollback Status,بند واجهة
Rolled Back,بند واجهة
Running,بند واجهة
Sales Booking,حجز بيع
Sales booking register,سجل حجوزات البيع
Sales Commission Accrual,استحقاق عمولات المبيعات
Sales Commission Schedule,جدول عمولات المبيعات
Sales Invoice,فاتورة مبيعات
Sales Lead,عميل محتمل
Sales Portal,بوابة المبيعات
Sales Register,سجل المبيعات
Save,حفظ
Search or type a command,ابحث أو اكتب أمرًا
Search or type a command ({0}),ابحث أو اكتب أمرًا ({0})
Sell,المبيعات
Services,الخدمات
Settings,الإعدادات
Severity,الشدة
Shortcut,اختصار
Signal Type,بند واجهة
Simulated,بند واجهة
SME Microfinance,التمويل متناهي الصغر
SME Retail Finance,تمويل المنشآت والتجزئة
Snapshot Reference,لقطة المرجع
Source,المصدر
Status,الحالة
Stock,المخزون
Subcontract,مقاول باطن
Submit,إرسال
Supplier,المورد
Supporting Attachment,مرفق داعم
System Manager,مدير النظام
Task List,قائمة المهام
This Month,هذا الشهر
This Week,هذا الأسبوع
Timezone,المنطقة الزمنية
Title,العنوان
Today,اليوم
ToDo,مهمة
Tourism,السياحة
Trading,التجارة
Trading & Manufacturing,التجارة والتصنيع
Trial Balance,ميزان المراجعة
Unit,وحدة
Unit Inventory,مخزون الوحدات
Unit inventory & sales readiness,مخزون الوحدات وجاهزية البيع
Unit inventory overview,نظرة عامة على مخزون الوحدات
Unit Reservation,حجز وحدة
Unit Reservation Register,سجل حجز الوحدات
Update,تحديث
Vehicle Finance,تمويل المركبات
Viewed,بند واجهة
Warehouse,المستودع
Workflow State,حالة سير العمل
Workspace,مساحة العمل
Workspaces,مساحات العمل
Yesterday,أمس
You are ready to work in Core ERP.,أنت جاهز للعمل في ERP الأساسي.
✅ Handover,✅ التسليم
🎯 CRM,🎯 إدارة العملاء
🏗️ Projects,🏗️ المشاريع
🏢 Organization,🏢 التنظيم والإعداد
🏢 Organization & Setup,🏢 التنظيم والإعداد
🏢 Portfolio,🏢 المحفظة العقارية
👥 HR & Users,👥 الموارد البشرية والمستخدمون
💰 Billing · Finance · ERP,💰 الفوترة · المالية · ERP
💰 Commissions,💰 العمولات
💰 Finance & ERP,💰 المالية · ERP
💰 Owner & CAM,💰 المالك والمصاريف المشتركة
📈 Reports,📈 التقارير
📊 Analytics,📊 التحليلات
📊 Dashboards,📊 لوحات المعلومات
📊 Dashboards & Portals,📊 لوحات المعلومات والبوابات
📊 Dashboards & portals,📊 لوحات المعلومات والبوابات
📋 Commercial,📋 التجاري
📋 Leasing,📋 التأجير
📋 Operations,📋 العمليات
📐 BOQ & inventory,📐 جدول الكميات والمخزون
📦 Inventory & Supply,📦 المخزون والتوريد
🔗 Integration,🔗 التكامل
🚚 Field operations,🚚 العمليات الميدانية
🛡️ Compliance,🛡️ الامتثال
